,Bit-length,Lattice Dimension,N,l,c,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2],Pre-training Bit-length
0,4.0,2.0,13.0,1.0,3.0,15.652475842498529,0.2919999999999999,15.652475842498529,0.292,0.0,0.7080000000000001,32.75364660900797,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.29200000000000004,20.92844953645635,0.292,0.0,0.708,27.021032675801365,10.0
0,4.0,2.0,13.0,1.0,3.0,15.652475842498529,0.2919999999999999,15.652475842498529,0.292,0.0,0.7080000000000001,32.75364660900797,10.0
0,4.0,2.0,13.0,1.0,3.0,15.652475842498529,0.2919999999999999,15.652475842498529,0.292,0.0,0.7080000000000001,32.75364660900797,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.29200000000000004,20.92844953645635,0.292,0.0,0.708,27.021032675801365,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.29200000000000004,20.92844953645635,0.292,0.0,0.708,27.021032675801365,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.29200000000000004,20.92844953645635,0.292,0.0,0.708,27.021032675801365,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.29200000000000004,20.92844953645635,0.292,0.0,0.708,27.021032675801365,10.0
0,4.0,2.0,13.0,1.0,3.0,15.652475842498529,0.2919999999999999,15.652475842498529,0.292,0.0,0.7080000000000001,32.75364660900797,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.29200000000000004,20.92844953645635,0.292,0.0,0.708,27.021032675801365,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.29200000000000004,20.92844953645635,0.292,0.0,0.708,27.021032675801365,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.29200000000000004,20.92844953645635,0.292,0.0,0.708,27.021032675801365,10.0
0,4.0,2.0,13.0,1.0,3.0,15.652475842498529,0.2919999999999999,15.652475842498529,0.292,0.0,0.7080000000000001,32.75364660900797,10.0
0,4.0,2.0,13.0,1.0,3.0,15.652475842498529,0.2919999999999999,15.652475842498529,0.292,0.0,0.7080000000000001,32.75364660900797,10.0
0,4.0,2.0,13.0,1.0,3.0,15.652475842498529,0.2919999999999999,15.652475842498529,0.292,0.0,0.7080000000000001,32.75364660900797,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.29200000000000004,20.92844953645635,0.292,0.0,0.708,27.021032675801365,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.29200000000000004,20.92844953645635,0.292,0.0,0.708,27.021032675801365,10.0
0,4.0,2.0,13.0,1.0,3.0,15.652475842498529,0.2919999999999999,15.652475842498529,0.292,0.0,0.7080000000000001,32.75364660900797,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.29200000000000004,20.92844953645635,0.292,0.0,0.708,27.021032675801365,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.29200000000000004,20.92844953645635,0.292,0.0,0.708,27.021032675801365,10.0
0,4.0,2.0,13.0,1.0,3.0,15.652475842498529,0.2919999999999999,15.652475842498529,0.292,0.0,0.7080000000000001,32.75364660900797,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.29200000000000004,20.92844953645635,0.292,0.0,0.708,27.021032675801365,10.0
0,4.0,2.0,13.0,1.0,3.0,15.652475842498529,0.2919999999999999,15.652475842498529,0.292,0.0,0.7080000000000001,32.75364660900797,10.0
